gene_id,attributes,logFC,AveExpr,t,P.Value,adj.P.Val,B
PF3D7_1319400,description=conserved protein%2C unknown function;ebi_biotype=protein_coding,-0.94739222,7.935276363,-13.96829609,0.000158797,0.030566539,1.94353171
PF3D7_1035600,Name=H101;description=merozoite surface protein;ebi_biotype=protein_coding,1.202967478,7.356629448,14.30124533,0.000166887,0.030566539,1.894240411
PF3D7_1105000,Name=H4;description=histone H4;ebi_biotype=protein_coding,-1.010648684,10.07501967,-15.00494822,0.000171996,0.030566539,1.82007751
PF3D7_0312400,Name=GSK3beta;description=glycogen synthase kinase-3 beta;ebi_biotype=protein_coding,-0.764748881,8.634956465,-13.4714306,0.000182924,0.030566539,1.774058337
PF3D7_1455400,Name=HlyIII;description=hemolysin III;ebi_biotype=protein_coding,2.460547384,5.36634927,14.4090611,0.000183677,0.030566539,1.171176519
PF3D7_1301500,description=Plasmodium exported protein (PHISTa)%2C unknown function;ebi_biotype=protein_coding,1.84522103,6.607238011,14.58007823,0.000191307,0.030566539,1.657131088
PF3D7_0924400,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.200942703,8.575773246,-14.47515507,0.000196492,0.030566539,1.770967102
PF3D7_1112000,description=conserved protein%2C unknown function;ebi_biotype=protein_coding,-0.707924751,9.02575484,-13.18183836,0.000199108,0.030566539,1.654045117
PF3D7_0819700,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.070487397,7.732930467,-13.57824622,0.000203485,0.030566539,1.715262556
PF3D7_0725400,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-0.610214085,11.80708289,-14.25450391,0.000207987,0.030566539,1.413568994
PF3D7_0814200,Name=ALBA1;description=DNA/RNA-binding protein Alba 1;ebi_biotype=protein_coding,-0.562446539,10.49119444,-13.09736993,0.000209635,0.030566539,1.46170696
PF3D7_0802700,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,2.267585131,6.033069038,14.11388989,0.000215758,0.030566539,1.373926194
PF3D7_1018700,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-0.810807655,8.50735711,-12.92996979,0.000218094,0.030566539,1.598664003
PF3D7_0516200,Name=RPS11;description=40S ribosomal protein S11;ebi_biotype=protein_coding,-1.127680552,8.037172,-13.95577079,0.000224939,0.030566539,1.643654222
PF3D7_0501500,Name=RAP3;description=rhoptry-associated protein 3;ebi_biotype=protein_coding,-0.709483779,11.08837807,-13.52885398,0.000252313,0.030566539,1.275072004
PF3D7_0930100,description=heptatricopeptide repeat-containing protein%2C putative;ebi_biotype=protein_coding,1.466343518,8.223562615,13.45719126,0.000257312,0.030566539,1.500640168
PF3D7_0803100,Name=UTP14;description=U3 small nucleolar RNA-associated protein 14%2C putative;ebi_biotype=protein_coding,1.355922872,7.854083086,13.43065174,0.000259195,0.030566539,1.502418095
PF3D7_0214900,Name=RON6;description=rhoptry neck protein 6;ebi_biotype=protein_coding,-0.591265088,9.688325772,-12.2296047,0.000266619,0.030566539,1.264170505
PF3D7_1437300,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-0.640303658,9.022133079,-12.15216339,0.000273285,0.030566539,1.304048136
PF3D7_0722000,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.477763087,7.417650277,-13.23699273,0.000273476,0.030566539,1.440400267
PF3D7_0320200,description=CPW-WPC family protein;ebi_biotype=protein_coding,4.520873075,3.227446232,12.54457472,0.000274079,0.030566539,-0.723530145
PF3D7_1410500,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,2.121919695,6.794607316,13.18640576,0.000277369,0.030566539,1.374023825
PF3D7_1116200,Name=PDX2;description=pyridoxine biosynthesis protein PDX2;ebi_biotype=protein_coding,-1.281088599,6.495735418,-12.06546016,0.000280996,0.030566539,1.316164232
PF3D7_1206200,Name=EIF3C;description=eukaryotic translation initiation factor 3 subunit C%2C putative;ebi_biotype=protein_coding,1.110323885,7.997033703,13.11480789,0.000282999,0.030566539,1.408869205
PF3D7_0707400,Name=ATAD3A;description=ATPase family AAA domain-containing protein 3A%2C putative;ebi_biotype=protein_coding,2.080764037,7.603734545,13.09693408,0.000284427,0.030566539,1.410184238
PF3D7_0523500,description=dynein light chain Tctex-type%2C putative;ebi_biotype=protein_coding,1.090823278,6.759504952,12.02557437,0.000284635,0.030566539,1.352077278
PF3D7_0523400,description=DnaJ protein%2C putative;ebi_biotype=protein_coding,-1.203505116,6.560617556,-12.02115175,0.000285042,0.030566539,1.315413937
PF3D7_1423400,description=conserved Plasmodium membrane protein%2C unknown function;ebi_biotype=protein_coding,2.071169226,6.558221654,13.07924001,0.00028585,0.030566539,1.312769066
PF3D7_0303000,Name=NSF;description=N-ethylmaleimide-sensitive fusion protein;ebi_biotype=protein_coding,1.93316782,5.701324246,12.91845618,0.000286745,0.030566539,1.103176645
PF3D7_1136500,Name=CK1;description=casein kinase 1;ebi_biotype=protein_coding,-1.153465974,9.391250599,-12.95677278,0.000295946,0.030566539,1.274577035
PF3D7_0507500,Name=SUB1;description=subtilisin-like protease 1;ebi_biotype=protein_coding,0.533124583,10.35714182,12.06264358,0.00030279,0.030566539,1.061613599
PF3D7_1204700,description=conserved protein%2C unknown function;ebi_biotype=protein_coding,-1.218977329,6.906719337,-12.21023852,0.000309203,0.030566539,1.28421877
PF3D7_1370800,description=non-coding RNA;ebi_biotype=ncRNA,0.894950724,7.295689572,11.70591636,0.000316023,0.030566539,1.260778717
PF3D7_1118700,Name=MLC-B;description=myosin light chain B;ebi_biotype=protein_coding,-1.018104455,8.89457771,-12.67623316,0.000320825,0.030566539,1.227080936
PF3D7_0919400,Name=PDI-Trans;description=protein disulfide-isomerase PDI-Trans;ebi_biotype=protein_coding,-0.811280704,8.265517836,-11.96801094,0.00032193,0.030566539,1.218831007
PF3D7_1204300,Name=EIF5A;description=eukaryotic translation initiation factor 5A;ebi_biotype=protein_coding,-1.182847329,8.770439317,-12.61329688,0.000326764,0.030566539,1.220031204
PF3D7_1344500,Name=USB1;description=U6 snRNA phosphodiesterase%2C putative;ebi_biotype=protein_coding,-1.811715756,6.991945932,-12.59691272,0.000328333,0.030566539,1.232303814
PF3D7_1127100,Name=dUTPase;description=deoxyuridine 5'-triphosphate nucleotidohydrolase;ebi_biotype=protein_coding,-1.576803195,7.515429119,-12.49253787,0.000338554,0.030566539,1.23797971
PF3D7_0103400,description=zinc-carboxypeptidase%2C putative;ebi_biotype=protein_coding,-1.395011591,6.734191009,-12.32655744,0.000345154,0.030566539,1.171751124
PF3D7_1361900,Name=PCNA1;description=proliferating cell nuclear antigen 1;ebi_biotype=protein_coding,-1.038332808,8.674789241,-12.36592123,0.000351499,0.030566539,1.145606362
PF3D7_0913900,Name=RRSapi;description=arginine--tRNA ligase%2C putative;ebi_biotype=protein_coding,1.465262826,7.042184192,12.30663729,0.000357774,0.030566539,1.177831778
PF3D7_1250700,description=transcription initiation factor IIA subunit 2%2C putative;ebi_biotype=protein_coding,-1.302444659,7.108843381,-12.24022229,0.000364972,0.030566539,1.155778629
PF3D7_1034700,description=ADP-ribosylation factor%2C putative;ebi_biotype=protein_coding,-1.064668988,8.195964015,-12.2063656,0.000368712,0.030566539,1.128597076
PF3D7_1340800,Name=MPC1;description=mitochondrial pyruvate carrier protein 1%2C putative;ebi_biotype=protein_coding,-1.11838143,6.976004105,-11.59176039,0.000371595,0.030566539,1.115747351
PF3D7_0503500,description=protein kinase%2C putative;ebi_biotype=protein_coding,1.043471867,8.093101483,12.16839749,0.000372964,0.030566539,1.114592227
PF3D7_1203700,Name=NAPL;description=nucleosome assembly protein;ebi_biotype=protein_coding,-1.809668781,7.165811158,-12.15651234,0.000374308,0.030566539,1.127274049
PF3D7_1424100,Name=RPL5;description=60S ribosomal protein L5%2C putative;ebi_biotype=protein_coding,-0.880972706,8.131165293,-11.87064585,0.000383477,0.030566539,1.07458993
PF3D7_0528900,description=conserved protein%2C unknown function;ebi_biotype=protein_coding,1.836055025,6.075699843,12.07283813,0.000383942,0.030566539,0.990588759
PF3D7_0305300,description=transporter%2C putative;ebi_biotype=protein_coding,2.13395861,5.445147491,12.06803071,0.000384505,0.030566539,0.79042592
PF3D7_1348700,Name=WDR16;description=WD repeat-containing protein 16%2C putative;ebi_biotype=protein_coding,0.965494589,7.338888222,11.48592433,0.000384754,0.030566539,1.081580563
PF3D7_0408100,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.581977336,6.550463522,-11.96975401,0.000396245,0.030694335,1.02145295
PF3D7_0705700,description=40S ribosomal protein S29%2C putative;ebi_biotype=protein_coding,-0.494071964,9.856189988,-10.92348398,0.000413146,0.030694335,0.740068353
PF3D7_0321100,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,2.302953616,6.493624192,11.79716987,0.000417977,0.030694335,0.971979781
PF3D7_0931900,Name=AKLP2;description=adenylate kinase-like protein 2;ebi_biotype=protein_coding,-0.98078561,6.993034822,-10.85874493,0.000422751,0.030694335,0.975138672
PF3D7_1219200,Name=RIF;description=rifin%2C pseudogene;ebi_biotype=pseudogene,4.574525159,1.669795181,10.80712695,0.000430609,0.030694335,-1.384417992
PF3D7_1472500,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,1.804507934,5.926258563,11.64411581,0.000438521,0.030694335,0.855193928
PF3D7_1335100,Name=MSP7;description=merozoite surface protein 7;ebi_biotype=protein_coding,0.363198215,12.35039516,11.21574196,0.000442301,0.030694335,0.372828562
PF3D7_0828500,description=translation initiation factor eIF-2B subunit alpha%2C putative;ebi_biotype=protein_coding,-0.770829617,7.825852822,-10.64864662,0.000455899,0.030694335,0.855640265
PF3D7_0821500,Name=NEP1;description=ribosomal RNA small subunit methyltransferase NEP1%2C putative;ebi_biotype=protein_coding,1.793989749,6.86369935,11.49353979,0.000459989,0.030694335,0.929584403
PF3D7_0624500,Name=APC11;description=anaphase-promoting complex subunit 11%2C putative;ebi_biotype=protein_coding,-1.456828008,8.884961914,-11.49237023,0.000460161,0.030694335,0.837617029
PF3D7_1131200,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.262567735,6.035632919,-10.6098172,0.000462375,0.030694335,0.821733198
PF3D7_0924500,description=conserved Plasmodium membrane protein%2C unknown function;ebi_biotype=protein_coding,1.109500492,6.876009932,11.1957518,0.000470211,0.030694335,0.902515903
PF3D7_1125600,Name=C4AP1;description=respiratory chain complex 4 associated protein 1;ebi_biotype=protein_coding,-1.03654474,7.877374151,-11.41476146,0.000471749,0.030694335,0.886834512
PF3D7_1361500,description=PH domain-containing protein%2C putative;ebi_biotype=protein_coding,-1.389535933,7.868636044,-11.39703874,0.000474447,0.030694335,0.886163879
PF3D7_1331600,Name=DEH;description=3-hydroxyacyl-CoA dehydratase DEH;ebi_biotype=protein_coding,2.039445078,7.129252026,11.39530333,0.000474712,0.030694335,0.90433051
PF3D7_0208500,Name=ACP;description=acyl carrier protein;ebi_biotype=protein_coding,-1.174737958,6.767678084,-11.0761773,0.000476117,0.030694335,0.879758812
PF3D7_0308800,description=conserved protein%2C unknown function;ebi_biotype=protein_coding,-1.885922749,6.421045877,-11.32156048,0.000486156,0.030694335,0.814016085
PF3D7_1127500,description=protein disulfide-isomerase%2C putative;ebi_biotype=protein_coding,-1.272585105,7.20146429,-11.29867665,0.000489778,0.030694335,0.873819711
PF3D7_0306000,Name=QCR8;description=cytochrome b-c1 complex subunit 8%2C putative;ebi_biotype=protein_coding,-1.04967731,6.941611729,-10.78533393,0.000491467,0.030694335,0.84513219
PF3D7_0927200,description=gametocyte development protein GD1%2C putative;ebi_biotype=protein_coding,-1.209428726,6.729993875,-11.08389033,0.000493685,0.030694335,0.847404938
PF3D7_1019800,description=tRNA methyltransferase%2C putative;ebi_biotype=protein_coding,1.349951801,7.576010711,11.17054212,0.000510697,0.031410616,0.815889925
PF3D7_1235000,Name=PIH1;description=PIH1 domain-containing protein%2C putative;ebi_biotype=protein_coding,4.404067205,1.584535952,10.274213,0.000523404,0.031849714,-1.442907465
PF3D7_1462300,description=GTP-binding protein%2C putative;ebi_biotype=protein_coding,-1.212569133,6.124054632,-10.2449992,0.000529179,0.031862126,0.717057676
PF3D7_0522400,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.063565245,8.109648491,-11.03070374,0.000534829,0.031866877,0.735761227
PF3D7_1210700,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.243009905,6.054807569,-10.14631411,0.00054928,0.032084315,0.675414
PF3D7_1115100,description=conserved protein%2C unknown function;ebi_biotype=protein_coding,2.173597291,5.372385588,10.94844579,0.000549696,0.032084315,0.517116567
PF3D7_0920600,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,1.007765991,7.718272548,10.85562964,0.000567103,0.032345261,0.69335098
PF3D7_0506900,Name=ROM4;description=rhomboid protease ROM4;ebi_biotype=protein_coding,-0.85440857,8.416246393,-10.83194237,0.000571656,0.032345261,0.62995188
PF3D7_1004500,Name=AKIT2;description=apicomplexan kinetochore protein 2%2C putative;ebi_biotype=protein_coding,-1.231639702,8.370758867,-10.8136468,0.000575204,0.032345261,0.635618106
PF3D7_0900500,Name=RIF;description=rifin;ebi_biotype=protein_coding,-1.359222787,6.1934957,-10.57082435,0.000576786,0.032345261,0.654960305
PF3D7_0206600,description=DNA-directed RNA polymerase III subunit RPC10%2C putative;ebi_biotype=protein_coding,1.869542424,5.923400422,10.76545809,0.000584683,0.032469797,0.617904387
PF3D7_0404600,description=conserved Plasmodium membrane protein%2C unknown function;ebi_biotype=protein_coding,2.696501355,3.898945307,10.14788405,0.000591523,0.032533765,-0.263694009
PF3D7_1135000,description=PQ-loop repeat-containing protein;ebi_biotype=protein_coding,1.418742781,6.611980209,10.66131911,0.00060585,0.032819594,0.660929942
PF3D7_0105900,description=3'-5' exonuclease%2C putative;ebi_biotype=protein_coding,1.884346794,4.846935203,10.18753681,0.000608195,0.032819594,0.309471346
PF3D7_0807800,Name=RPN10;description=26S proteasome regulatory subunit RPN10%2C putative;ebi_biotype=protein_coding,-0.763046929,9.011921481,-10.61542883,0.000615483,0.032902476,0.478071125
PF3D7_1412000,description=p1/s1 nuclease%2C putative;ebi_biotype=protein_coding,-1.283074137,5.715443781,-9.786273318,0.000631166,0.033263721,0.507597074
PF3D7_1206000,Name=SHLP2;description=shewanella-like protein phosphatase 2;ebi_biotype=protein_coding,-0.61703103,9.812804707,-10.53029287,0.000633872,0.033263721,0.344578858
PF3D7_1223400,description=phospholipid-transporting ATPase%2C putative;ebi_biotype=protein_coding,0.957372937,6.824519366,9.997171123,0.000647897,0.033690635,0.5667528
PF3D7_1471300,description=RAP protein%2C putative;ebi_biotype=protein_coding,2.10670125,5.740680856,10.44030047,0.000654067,0.03370508,0.483407121
PF3D7_0104100,description=protein E140%2C putative;ebi_biotype=protein_coding,0.661088367,8.432426167,10.05846766,0.000662627,0.033719529,0.411761449
PF3D7_0927500,description=dynein light chain%2C putative;ebi_biotype=protein_coding,-1.158146949,7.630411325,-10.38816724,0.000666138,0.033719529,0.539034604
PF3D7_1029900,description=ORC3 domain-containing protein%2C putative;ebi_biotype=protein_coding,-1.067830092,7.687525779,-10.24116067,0.000701717,0.035184259,0.477538859
PF3D7_1034800,description=conserved protein%2C unknown function;ebi_biotype=protein_coding,1.426951195,6.790025014,10.21864616,0.000707376,0.035184259,0.510755288
PF3D7_0107000,Name=CEN1;description=centrin-1;ebi_biotype=protein_coding,-1.227208535,8.543509241,-10.15028482,0.000724912,0.035417633,0.358531878
PF3D7_0721400,description=rhoptry protein%2C putative;ebi_biotype=protein_coding,-0.988396266,7.113981245,-10.04271691,0.00073358,0.035417633,0.461080864
PF3D7_0517300,Name=SR1;description=serine/arginine-rich splicing factor 1;ebi_biotype=protein_coding,-0.811375396,7.124964114,-9.396881479,0.000737553,0.035417633,0.399300265
PF3D7_0105300,Name=CAP;description=cyclase-associated protein;ebi_biotype=protein_coding,-0.922168666,9.763684435,-10.06647703,0.000747164,0.035417633,0.161373055
PF3D7_1122900,description=dynein heavy chain%2C putative;ebi_biotype=protein_coding,2.836257516,3.367915954,9.34874788,0.000752204,0.035417633,-0.667434594
PF3D7_0214700,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,1.765798164,5.393147532,9.998817714,0.000765759,0.035417633,0.301320235
PF3D7_1030800,description=calmodulin%2C putative;ebi_biotype=protein_coding,-1.747548627,7.829831702,-9.991629137,0.000767769,0.035417633,0.383133428
PF3D7_1108100,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.727061461,4.821454317,-9.281136919,0.0007734,0.035417633,0.087366109
PF3D7_1138900,description=non-coding RNA;ebi_biotype=ncRNA,-0.950986792,7.482499107,-9.932276251,0.000784618,0.035417633,0.37233956
PF3D7_0402200,Name=SURF4.1;description=surface-associated interspersed protein 4.1 (SURFIN 4.1)%2C pseudogene;ebi_biotype=pseudogene,-0.716606087,7.42324796,-9.243113867,0.000785647,0.035417633,0.304475985
PF3D7_1126900,Name=SNRPF;description=small nuclear ribonucleoprotein F%2C putative;ebi_biotype=protein_coding,-0.763437253,7.203795001,-9.227659746,0.000790693,0.035417633,0.318553262
PF3D7_0726700,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.436485765,5.671836386,-9.599029323,0.000799491,0.035417633,0.29835831
PF3D7_0720900,description=tetratricopeptide repeat protein%2C putative;ebi_biotype=protein_coding,-1.647659587,5.696635688,-9.867208237,0.000803627,0.035417633,0.288022137
PF3D7_1358400,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-0.664058251,8.840995863,-9.805100049,0.000822316,0.035417633,0.163939289
PF3D7_1320800,description=dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex;ebi_biotype=protein_coding,0.804216949,7.087287727,9.221744569,0.000827534,0.035417633,0.282711483
PF3D7_0210900,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-0.965915825,7.996339158,-9.779343285,0.000830226,0.035417633,0.262023119
PF3D7_0817800,Name=C3AP3;description=respiratory chain complex 3 associated protein 3;ebi_biotype=protein_coding,-0.477599591,9.308931457,-9.106154087,0.000833388,0.035417633,-0.008585023
PF3D7_1345300,Name=ApiCOX16;description=cytochrome c oxidase subunit ApiCOX16%2C putative;ebi_biotype=protein_coding,-0.843121202,8.952258702,-9.764508627,0.000834826,0.035417633,0.136044314
PF3D7_0922500,Name=PGK;description=phosphoglycerate kinase;ebi_biotype=protein_coding,-1.008289985,7.34517653,-9.761105346,0.000835885,0.035417633,0.316412579
PF3D7_0934700,description=UBX domain-containing protein%2C putative;ebi_biotype=protein_coding,-0.690561945,8.495323612,-9.761040127,0.000835906,0.035417633,0.189636069
PF3D7_0106200,description=EF hand domain-containing protein%2C putative;ebi_biotype=protein_coding,-1.61056937,6.268045495,-9.696098832,0.000856455,0.035810991,0.306551289
PF3D7_1454700,Name=6PGD;description=6-phosphogluconate dehydrogenase%2C decarboxylating;ebi_biotype=protein_coding,-0.601348858,7.916410195,-9.023646824,0.00086124,0.035810991,0.144796361
PF3D7_0206500,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,1.413036748,6.944122573,9.656152186,0.000869412,0.035810991,0.295918407
PF3D7_1406900,Name=RlmN;description=radical SAM protein%2C putative;ebi_biotype=protein_coding,-0.930593122,6.341744515,-8.999139381,0.000870232,0.035810991,0.265385968
PF3D7_0807200,description=conserved Plasmodium membrane protein%2C unknown function;ebi_biotype=protein_coding,-1.207736798,5.851023768,-9.080898837,0.000889562,0.036344954,0.229734661
PF3D7_0920400,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-0.935321644,7.289261027,-9.542441271,0.000907668,0.03644235,0.232025387
PF3D7_0811300,Name=CAF1;description=CCR4-associated factor 1;ebi_biotype=protein_coding,-1.213424412,7.38484539,-9.504086888,0.000921047,0.03644235,0.213602008
PF3D7_1477800,Name=ACBP;description=acyl-CoA binding protein;ebi_biotype=protein_coding,-0.836655164,6.806519863,-8.841435599,0.000930969,0.03644235,0.178374314
PF3D7_1230400,Name=ClpQ;description=ATP-dependent protease subunit ClpQ;ebi_biotype=protein_coding,-0.930915487,6.298618418,-8.832985253,0.00093437,0.03644235,0.195645733
PF3D7_1205100,Name=SEPSECS;description=O-phosphoseryl-tRNA(Sec) selenium transferase%2C putative;ebi_biotype=protein_coding,1.253305402,6.600368811,9.452366473,0.000939484,0.03644235,0.229531888
PF3D7_0803200,description=filament assembling protein%2C putative;ebi_biotype=protein_coding,-0.712900789,9.380902626,-9.424421432,0.000949639,0.03644235,-0.074215349
PF3D7_1115300,Name=FP2B;description=cysteine proteinase falcipain 2b;ebi_biotype=protein_coding,2.358465143,4.459223327,9.420897334,0.00095093,0.03644235,-0.206610068
PF3D7_0404900,Name=P41;description=6-cysteine protein P41;ebi_biotype=protein_coding,-0.678135918,10.31556467,-9.387289429,0.000963347,0.03644235,-0.217529517
PF3D7_1105200,Name=WDR8;description=WD repeat-containing protein WRAP73%2C putative;ebi_biotype=protein_coding,2.00699475,5.02876666,9.382217177,0.000965239,0.03644235,0.019413824
PF3D7_0321500,description=peptidase%2C putative;ebi_biotype=protein_coding,0.906002373,7.04380854,9.322517146,0.000969247,0.03644235,0.167371008
PF3D7_0614000,description=thiamine-phosphate synthase%2C putative;ebi_biotype=protein_coding,-1.052451152,7.463013201,-9.365440966,0.000971529,0.03644235,0.146025804
PF3D7_0526800,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.113987049,6.663301058,-9.36088536,0.000973246,0.03644235,0.195867509
PF3D7_0813100,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-0.952715697,7.839177993,-9.356852419,0.000974769,0.03644235,0.101120061
PF3D7_1115700,Name=FP2A;description=cysteine proteinase falcipain 2a;ebi_biotype=protein_coding,-0.760656758,7.942907774,-9.262513071,0.00101127,0.03748257,0.043758681
PF3D7_1401500,description=esterase%2C putative;ebi_biotype=protein_coding,1.338031567,5.829737642,9.246815118,0.00101751,0.03748257,0.135797386
PF3D7_1409300,Name=DDI1;description=DNA damage-inducible protein 1;ebi_biotype=protein_coding,0.568997247,9.219784396,9.222299789,0.001027351,0.03748257,-0.155934937
PF3D7_0911000,description=phosphatidylinositol N-acetylglucosaminyltransferase%2C putative;ebi_biotype=protein_coding,-0.765941837,8.178704763,-9.218703515,0.001028805,0.03748257,-0.004886589
PF3D7_1001200,Name=ACBP2;description=acyl-CoA binding protein%2C isoform 2%2C ACBP2;ebi_biotype=protein_coding,-0.437256398,9.375877072,-8.582154407,0.001042721,0.037749142,-0.28234214
PF3D7_1014100,Name=MSA180;description=merozoite surface protein MSA180;ebi_biotype=protein_coding,0.588199811,9.907144458,9.135655711,0.001063105,0.038196963,-0.28613033
PF3D7_0208700,description=SHS2 domain-containing protein%2C putative;ebi_biotype=protein_coding,2.591568225,3.245712098,8.492114086,0.001085387,0.038196963,-0.848485586
PF3D7_1423500,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,2.405479537,3.753359178,8.71621768,0.001092835,0.038196963,-0.597326061
PF3D7_1236900,description=conserved Plasmodium protein%2C unknown function;ebi_biotype=protein_coding,-1.263911637,7.324828666,-9.057815419,0.00109657,0.038196963,0.032583759
PF3D7_1031000,Name=P25;description=ookinete surface protein P25;ebi_biotype=protein_coding,1.420449208,6.060823501,9.043383952,0.001102918,0.038196963,0.07218187
PF3D7_1017100,Name=RON12;description=rhoptry neck protein 12;ebi_biotype=protein_coding,-0.410372479,10.61437328,-8.943948298,0.001109923,0.038196963,-0.446934505
PF3D7_0319400,description=kinesin-8X;ebi_biotype=protein_coding,-0.953196792,6.69295294,-8.860645563,0.001111759,0.038196963,0.044466523
